State,District,"Subdistt
(Police Station)",Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,
21,381,2944,398451,0,0,VILLAGE,Shyampur,Rural,29,157,82,75,17,9,8,0,0,0,0,0,0,115,69,46,42,13,29,67,59,8,58,58,0,0,0,0,42,42,0,2,2,0,14,14,0,9,1,8,0,0,0,8,0,8,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,90,23,67,,Found,At row ...19211
21,381,2944,398452,0,0,VILLAGE,Sisupathar,Rural,150,660,333,327,101,43,58,0,0,0,142,67,75,370,216,154,290,117,173,277,212,65,201,194,7,39,39,0,94,90,4,1,1,0,67,64,3,76,18,58,7,6,1,47,7,40,3,1,2,19,4,15,48,11,37,1,1,0,37,7,30,2,0,2,8,3,5,28,7,21,6,5,1,10,0,10,1,1,0,11,1,10,383,121,262,,Found,At row ...19212
21,381,2944,398453,0,0,VILLAGE,Chakamunda,Rural,338,1520,785,735,211,122,89,275,141,134,13,5,8,920,514,406,600,271,329,731,486,245,550,464,86,111,89,22,133,87,46,29,19,10,277,269,8,181,22,159,2,2,0,175,17,158,1,0,1,3,3,0,30,18,12,1,1,0,27,15,12,0,0,0,2,2,0,151,4,147,1,1,0,148,2,146,1,0,1,1,1,0,789,299,490,,Found,At row ...19213
21,381,2944,398454,0,0,VILLAGE,Marudi,Rural,15,80,46,34,8,4,4,35,21,14,0,0,0,64,41,23,16,5,11,34,33,1,25,24,1,0,0,0,12,12,0,0,0,0,13,12,1,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,46,13,33,,Found,At row ...19214
21,381,2944,398455,0,0,VILLAGE,Jayamangalpur(Ka),Rural,78,259,148,111,30,21,9,30,16,14,4,3,1,203,123,80,56,25,31,82,73,9,82,73,9,12,12,0,2,2,0,0,0,0,68,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,75,102,,Found,At row ...19215
21,381,2944,398456,0,0,VILLAGE,Hinjalakhal,Rural,113,453,242,211,39,22,17,116,65,51,10,5,5,333,194,139,120,48,72,211,146,65,158,140,18,28,28,0,65,53,12,6,5,1,59,54,5,53,6,47,1,0,1,50,6,44,1,0,1,1,0,1,52,6,46,1,0,1,49,6,43,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,242,96,146,,Found,At row ...19216
21,381,2944,398457,0,0,VILLAGE,Jayamangalpur,Rural,143,556,284,272,43,17,26,196,97,99,0,0,0,389,232,157,167,52,115,292,172,120,135,133,2,103,103,0,4,4,0,0,0,0,28,26,2,157,39,118,0,0,0,157,39,118,0,0,0,0,0,0,157,39,118,0,0,0,157,39,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,112,152,,Found,At row ...19217
21,381,2944,398458,0,0,VILLAGE,Chikankhandi,Rural,85,386,197,189,53,26,27,46,20,26,0,0,0,288,161,127,98,36,62,261,136,125,63,34,29,35,20,15,25,12,13,0,0,0,3,2,1,198,102,96,16,10,6,181,91,90,1,1,0,0,0,0,198,102,96,16,10,6,181,91,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,61,64,,Found,At row ...19218
21,381,2944,398459,0,0,VILLAGE,Sanagaon,Rural,217,1005,538,467,102,62,40,125,71,54,0,0,0,772,440,332,233,98,135,368,258,110,150,145,5,100,100,0,23,21,2,0,0,0,27,24,3,218,113,105,32,32,0,145,49,96,2,2,0,39,30,9,163,67,96,10,10,0,139,43,96,2,2,0,12,12,0,55,46,9,22,22,0,6,6,0,0,0,0,27,18,9,637,280,357,,Found,At row ...19219
21,381,2944,398461,0,0,VILLAGE,Odasinga,Rural,327,1530,809,721,153,89,64,511,278,233,119,61,58,1011,594,417,519,215,304,472,434,38,248,234,14,48,48,0,107,101,6,2,0,2,91,85,6,224,200,24,64,64,0,108,90,18,7,7,0,45,39,6,219,198,21,64,64,0,104,88,16,7,7,0,44,39,5,5,2,3,0,0,0,4,2,2,0,0,0,1,0,1,1058,375,683,,Found,At row ...19221
21,381,2944,398463,0,0,VILLAGE,Basantapur,Rural,223,795,402,393,85,42,43,250,120,130,33,14,19,477,281,196,318,121,197,338,254,84,213,202,11,61,60,1,58,53,5,31,31,0,63,58,5,125,52,73,7,6,1,70,29,41,40,10,30,8,7,1,125,52,73,7,6,1,70,29,41,40,10,30,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,148,309,,Found,At row ...19223
